"Milk" "Fat" "Protein" "Fat_Percent" "Pro_Percent" "AFC" "DFB_PTA" "Net_Merit" "Prod_Life" "SCS" "Dtr_Preg_Rate" "Heifer_Conc_Rate" "Cow_Conc_Rate" "Sire_Calv_Ease" "Dtr_Calv_Ease" "Sire_Still_Birth" "Dtr_Still_Birth" "Final_score" "Stature" "Strength" "Dairy_form" "Foot_angle" "Rear_legs.side." "Body_depth" "Rump_angle" "Rump_width" "Fore_udder_att" "Rear_ud_height" "Udder_depth" "Udder_cleft" "Front_teat_pla" "Teat_length" "Rear_legs.rear." "Feet_and_legs" "Rear_teat_pla"
"Milk" 1 0.416732530038606 0.836329869950428 -0.533922075510233 -0.507324282557694 -0.0987825651597303 0.153865132854137 0.457419679704202 0.0658224010592075 0.0440246112197076 -0.199300118043457 -0.020710635796703 -0.112218354318386 -0.00120045962097267 -0.0483706280655683 0.00600940232744503 -0.0615490929634202 0.148290227368604 0.077283703693077 0.00695035061717657 0.333695758525753 0.0298660502865826 0.0343784963645551 0.100167178033107 0.0384572026281445 0.101463597339199 -0.0465216234319217 0.167693068235534 -0.19609336435944 0.0708820970811553 0.0244527274919104 0.0456989335301611 0.059723577846662 0.0661176476632257 0.0422801475283794
"Fat" 0.416732530038606 1 0.59907736973359 0.512612353317425 0.164494742406531 -0.0653991061053869 0.137707732541871 0.693100747248148 0.0997482167092394 -0.0700565595649414 -0.173423102484488 -0.035168889123925 -0.124784661491015 -0.00192105261017727 -0.0329425252543821 -0.0023947478747726 -0.0406837323631203 0.150740789389474 0.0571157036781428 0.0265134870440775 0.267452112764788 0.0225689753631248 0.0551299119140016 0.129712954301856 -0.0120635071296562 0.0876192344572101 0.0163216200792784 0.11164811311083 -0.107535451625301 0.069781067152299 0.0483429773226885 -0.0120595129622096 0.0449405377130863 0.0713303637143684 0.0431799401362325
"Protein" 0.836329869950428 0.59907736973359 1 -0.225304445089502 0.0212580848102288 -0.130213381190834 0.144425259597273 0.638952434900835 0.0955401045801406 0.0356419012882609 -0.182598033266354 -0.0243339224642308 -0.108920397521044 -0.0150247552991092 -0.0650012023695692 -0.00818912828447423 -0.0873180942654227 0.177868373253817 0.0881826657453702 0.0243639771539883 0.339342632286077 0.0484447004147622 0.0429476215508055 0.11489261505086 0.0304777123641787 0.119862970946771 -0.0223398556968317 0.178189723460802 -0.180085412239407 0.0846894125789899 0.04421911418584 0.0223369227930142 0.0766635527113175 0.0978693945484215 0.0502507725329581
"Fat_Percent" -0.533922075510233 0.512612353317425 -0.225304445089502 1 0.62854510722397 0.0292074574368554 -0.0118096191823584 0.188574991572464 0.0216603600501431 -0.0917401198606589 0.019063590497085 -0.0120144116027621 -0.0144376357760116 0.000976936290361872 0.0127646980866173 -0.00628283529899345 0.0201790106521676 -0.00361890337445667 -0.0182582829682352 0.0181490103331062 -0.06107311952046 -0.0076763732204104 0.0174553319673193 0.0262000061400313 -0.0410974250330718 -0.0143331849116781 0.0491777633371568 -0.0530726424108599 0.0763198010305295 -0.00454624691730732 0.0162740619197148 -0.0494153006678779 -0.0157011498703862 0.000675684355636665 -0.00226953000949889
"Pro_Percent" -0.507324282557694 0.164494742406531 0.0212580848102288 0.62854510722397 1 -0.00669962173344028 -0.058756012131847 0.140462157518302 0.033104777581928 -0.0244559563551222 0.0835335555323219 0.00160393139169837 0.0374865474829016 -0.0180768942451782 -0.00846457971065519 -0.0200183251575938 -0.0173117454146717 -0.00180397105464842 -0.00729162277418148 0.0250274239228048 -0.0909143682031294 0.0172471845715723 -0.00248480024129217 -0.00837138347070093 -0.0231569761238148 -0.00329340736282261 0.0479316514745723 -0.0342341591133742 0.0774066548704559 -0.00337484774253605 0.020229671996893 -0.0429458972162689 0.00559572748671455 0.0235384560061901 -0.00561536594854301
"AFC" -0.0987825651597303 -0.0653991061053869 -0.130213381190834 0.0292074574368554 -0.00669962173344028 1 0.164652357516811 -0.125821216746202 -0.0648826463710468 -0.0287337729812515 -0.149689793462714 -0.0988678799560431 -0.161437483533016 0.0400679983491295 0.0584433585343056 0.0309581970810712 0.0708909001380632 -0.0472122568792087 -0.069288051695339 -0.0538232112487478 -0.031290053516828 -0.0183871295080643 -0.0058067719056372 -0.0420835230755719 -0.0205271876844948 -0.0534653901545777 -0.00474641368695348 -0.0208667193395349 0.000355481866542368 -0.0219094985643278 -0.0327477501569185 -0.00795417899312202 -0.0253181041136911 -0.023334219080476 -0.0235212402415989
"DFB_PTA" 0.153865132854137 0.137707732541871 0.144425259597273 -0.0118096191823584 -0.058756012131847 0.164652357516811 1 -0.11041351320918 -0.286812564850754 0.111185250819092 -0.637104971517324 -0.144790651462879 -0.606891172185782 0.132325639111042 0.120689952446909 0.0979058873881462 0.0976176781138341 0.0717370316972186 0.0664221358386196 0.0691172880535538 0.226815740995227 -0.00136929550710423 0.047384989232943 0.167490843342254 -0.0311476854700902 0.0865519865659629 -0.0254430620067677 0.0616537478325588 -0.0993197086921025 0.0432378914453295 0.01951854084339 0.0326744046267946 -0.00824202234789103 -0.0183377157881369 0.0379901095029859
"Net_Merit" 0.457419679704202 0.693100747248148 0.638952434900835 0.188574991572464 0.140462157518302 -0.125821216746202 -0.11041351320918 1 0.653921558553839 -0.361035234984941 0.171928379121779 0.0679795555526974 0.183378474970492 -0.138903237334518 -0.17723358388032 -0.100136839305399 -0.163244203280526 0.237603581502912 -0.059965773105084 -0.116985319693809 0.11310525866792 0.113577041614073 -0.0441767865535906 -0.0993557460601328 -0.00188692462144635 -0.0118547808822743 0.22322997931588 0.26819031736022 0.145254737351968 0.160423507583922 0.125864274682506 -0.0881956119580422 0.154277383633968 0.208454362988376 0.0891648791407285
"Prod_Life" 0.0658224010592075 0.0997482167092394 0.0955401045801406 0.0216603600501431 0.033104777581928 -0.0648826463710468 -0.286812564850754 0.653921558553839 1 -0.43188498684392 0.422924616037952 0.140470880451934 0.370827346653903 -0.143641183437639 -0.159431189261409 -0.109135774606528 -0.1172010294635 0.107118361292654 -0.204024020666686 -0.20724972962271 -0.166686976234686 0.08441178428141 -0.112217530849631 -0.284557338413343 0.0174718901438044 -0.157759175286052 0.24196576489173 0.15333348803545 0.272956852580216 0.0830945236850554 0.0699563268511198 -0.114359338578277 0.133127622758979 0.179863695629337 0.0128256448427406
"SCS" 0.0440246112197076 -0.0700565595649414 0.0356419012882609 -0.0917401198606589 -0.0244559563551222 -0.0287337729812515 0.111185250819092 -0.361035234984941 -0.43188498684392 1 -0.137790276233486 -0.0464585123243237 -0.132840897785994 0.031785011045035 0.0470594860075508 0.0286215981948072 0.0203704613555394 -0.0398444388264104 0.0620794426507994 0.0283793039065521 0.163758649538567 -0.0413773248022191 0.0590869588879262 0.0925610898316669 0.0118082577816538 0.0576915942278265 -0.144776470590734 -0.0200046703964919 -0.201037867351707 -0.029268016644941 -0.0160802765708718 0.0289231486497033 -0.0305323257705852 -0.047696152487539 0.0232207053266722
"Dtr_Preg_Rate" -0.199300118043457 -0.173423102484488 -0.182598033266354 0.019063590497085 0.0835335555323219 -0.149689793462714 -0.637104971517324 0.171928379121779 0.422924616037952 -0.137790276233486 1 0.195873026813775 0.819350716738755 -0.16727048169064 -0.162644651512147 -0.14006681366598 -0.108368399419468 -0.0771684959795819 -0.0826962916067026 -0.0887715960370198 -0.266319188450456 -0.011519679259707 -0.0617212847250534 -0.202151204130922 0.0580487269794145 -0.100893303551697 0.0488442352531967 -0.0560921382795317 0.152444172969195 -0.0441174537799741 -0.0152074430111958 -0.0516282340407576 0.00079973802329843 0.0163853342655982 -0.0445190024354509
"Heifer_Conc_Rate" -0.020710635796703 -0.035168889123925 -0.0243339224642308 -0.0120144116027621 0.00160393139169837 -0.0988678799560431 -0.144790651462879 0.0679795555526974 0.140470880451934 -0.0464585123243237 0.195873026813775 1 0.262437704390246 -0.0348920390688469 -0.073704602211651 -0.0211759546977937 -0.0391093682609556 -0.0123338341948838 -0.0242324153642743 -0.04015721273912 -0.0506557639884035 -0.0111031950996758 -0.00864632713161635 -0.0574850416625499 -0.000204819031972163 -0.0236491893942887 0.0222481932758381 0.00693422983220028 0.0402910296945169 -0.00686202009385534 -0.00387560013029562 -0.0181616110886706 0.0038698518961608 0.00660133461983661 -0.00607707084186815
"Cow_Conc_Rate" -0.112218354318386 -0.124784661491015 -0.108920397521044 -0.0144376357760116 0.0374865474829016 -0.161437483533016 -0.606891172185782 0.183378474970492 0.370827346653903 -0.132840897785994 0.819350716738755 0.262437704390246 1 -0.195219828595938 -0.169572006828327 -0.161021138373777 -0.124364261620551 -0.0432445958650731 -0.0681817049689323 -0.125594676195784 -0.181275528795401 -0.0204868310074259 -0.0361076563755999 -0.204191558429694 0.0785390292599674 -0.0958549057275471 0.0415886188359271 -0.0114483679659404 0.123957301710842 -0.0241665258563753 -0.0164660599824953 -0.0567251394228459 -2.73064383857575e-05 0.0264912254709376 -0.0373802155023239
"Sire_Calv_Ease" -0.00120045962097267 -0.00192105261017727 -0.0150247552991092 0.000976936290361872 -0.0180768942451782 0.0400679983491295 0.132325639111042 -0.138903237334518 -0.143641183437639 0.031785011045035 -0.16727048169064 -0.0348920390688469 -0.195219828595938 1 0.313545166536303 0.428138755404846 0.121006766885315 0.0649089914942277 0.165628433713217 0.181639264756055 0.0664398219465854 0.0832904468200716 0.00943003879202832 0.203151327319883 -0.0157179242768947 0.142088218870063 -3.45995353071973e-05 -0.00407227780841777 -0.00933953326912113 0.0144979729780667 -0.0192263144447456 0.0649157178153097 0.0140055373146998 -0.00284121470486811 -0.00426236508337338
"Dtr_Calv_Ease" -0.0483706280655683 -0.0329425252543821 -0.0650012023695692 0.0127646980866173 -0.00846457971065519 0.0584433585343056 0.120689952446909 -0.17723358388032 -0.159431189261409 0.0470594860075508 -0.162644651512147 -0.073704602211651 -0.169572006828327 0.313545166536303 1 0.0673992623324444 0.466385978029599 0.00697197826390492 0.0258803680703216 0.0846441558625239 0.0348406280531407 0.00355939140563474 0.00175812555317777 0.107135956557627 -0.0516746020365485 0.0164656197327442 -0.0230385606819462 -0.0354238969013317 -0.0347910333366952 -0.0138530217877443 -0.016979627533043 0.0293624449708896 -0.00905976462798705 -0.0330244549500389 -0.0189627891042451
